ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (mm),Anchura (mm),Altura (mm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
52696,variation,,Tubo de hierro cuadrado 10x10x1 mm. - Oxido,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,82",,,,,,,TSC101,,,,,,2,Color,Oxido,,1,,,,,,,,,
52697,variation,,Tubo de hierro cuadrado 10x10x1 mm. - Hierro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,82",,,,,,,TSC101,,,,,,3,Color,Hierro,,1,,,,,,,,,
52698,variation,,Tubo de hierro cuadrado 10x10x1 mm. - Blanco,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,82",,,,,,,TSC101,,,,,,4,Color,Blanco,,1,,,,,,,,,
52699,variation,,Tubo de hierro cuadrado 10x10x1 mm. - Negro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,82",,,,,,,TSC101,,,,,,5,Color,Negro,,1,,,,,,,,,
52690,variation,,Tubo de hierro cuadrado 10x10x1.5 mm. - Personalizado,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,08",,,,,,,TSC102,,,,,,1,Color,Personalizado,,1,,,,,,,,,
52691,variation,,Tubo de hierro cuadrado 10x10x1.5 mm. - Oxido,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,08",,,,,,,TSC102,,,,,,2,Color,Oxido,,1,,,,,,,,,
52692,variation,,Tubo de hierro cuadrado 10x10x1.5 mm. - Hierro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,08",,,,,,,TSC102,,,,,,3,Color,Hierro,,1,,,,,,,,,
52693,variation,,Tubo de hierro cuadrado 10x10x1.5 mm. - Blanco,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,08",,,,,,,TSC102,,,,,,4,Color,Blanco,,1,,,,,,,,,
52694,variation,,Tubo de hierro cuadrado 10x10x1.5 mm. - Negro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"5,08",,,,,,,TSC102,,,,,,5,Color,Negro,,1,,,,,,,,,
52684,variation,,Tubo de hierro cuadrado 12x12x1 mm. - Personalizado,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"4,10",,,,,,,TSC103,,,,,,1,Color,Personalizado,,1,,,,,,,,,
