ID,Tipo,Descripción corta,Descripción,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
13114,variable,Pletina de hierro de 300x20 mm,Pletina de hierro de 300x20 mm. Calidad: S275JR,185,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13115,variable,Pletina de hierro de 300x25 mm,Pletina de hierro de 300x25 mm. Calidad: S275JR,186,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13116,variable,Pletina de hierro de 300x30 mm,Pletina de hierro de 300x30 mm. Calidad: S275JR,187,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13117,variable,Pletina de hierro de 300x40 mm,Pletina de hierro de 300x40 mm. Calidad: S275JR,188,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13118,variable,Pletina de hierro de 350x12 mm,Pletina de hierro de 350x12 mm. Calidad: S275JR,199,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13119,variable,Pletina de hierro de 350x15 mm,Pletina de hierro de 350x15 mm. Calidad: S275JR,200,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13120,variable,Pletina de hierro de 350x20 mm,Pletina de hierro de 350x20 mm. Calidad: S275JR,201,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13121,variable,Pletina de hierro de 350x25 mm,Pletina de hierro de 350x25 mm. Calidad: S275JR,202,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13122,variable,Pletina de hierro de 350x30 mm,Pletina de hierro de 350x30 mm. Calidad: S275JR,203,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
13123,variable,Pletina de hierro de 350x40 mm,Pletina de hierro de 350x40 mm. Calidad: S275JR,204,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
