ID,Tipo,Descripción corta,Descripción,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo por defecto 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3
12851,variable,Pletina de hierro de 16x3 mm,Pletina de hierro de 16x3 mm. Calidad: S275JR,130,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12852,variable,Pletina de hierro de 16x4 mm,Pletina de hierro de 16x4 mm. Calidad: S275JR,131,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12853,variable,Pletina de hierro de 16x5 mm,Pletina de hierro de 16x5 mm. Calidad: S275JR,132,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12854,variable,Pletina de hierro de 16x6 mm,Pletina de hierro de 16x6 mm. Calidad: S275JR,133,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12855,variable,Pletina de hierro de 18x3 mm,Pletina de hierro de 18x3 mm. Calidad: S275JR,145,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12856,variable,Pletina de hierro de 18x4 mm,Pletina de hierro de 18x4 mm. Calidad: S275JR,146,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12857,variable,Pletina de hierro de 18x5 mm,Pletina de hierro de 18x5 mm. Calidad: S275JR,147,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12858,variable,Pletina de hierro de 18x6 mm,Pletina de hierro de 18x6 mm. Calidad: S275JR,148,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12859,variable,Pletina de hierro de 20x3 mm,Pletina de hierro de 20x3 mm. Calidad: S275JR,161,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12860,variable,Pletina de hierro de 20x4 mm,Pletina de hierro de 20x4 mm. Calidad: S275JR,162,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12861,variable,Pletina de hierro de 20x5 mm,Pletina de hierro de 20x5 mm. Calidad: S275JR,163,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12862,variable,Pletina de hierro de 20x6 mm,Pletina de hierro de 20x6 mm. Calidad: S275JR,164,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12863,variable,Pletina de hierro de 20x7 mm,Pletina de hierro de 20x7 mm. Calidad: S275JR,165,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
12864,variable,Pletina de hierro de 20x8 mm,Pletina de hierro de 20x8 mm. Calidad: S275JR,166,Color,"Blanco, Hierro, Negro, Oxido, Personalizado",1,1,Oxido,Calidad del acero,S275JR,1,1,Corte a medida,Disponible,1,1
